,TOK,SHOT,GROUP,CONFIG,IP,BT,NEL,RGEO,AMIN,KAREA,EPSILON,DELTA,DELTAU,DELTAL,MEFF,POHM,PNBI,PECRH,PICRH,PLTH,PRAD,TAUTH,TAU98Y2,HIPB98Y2,TAU20,H20,IPN,qCYL,GWF,HIGHZ,COAT,PFIN,PRFN,PLH,SELDB5,STD3,DB2P8,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE
5,ASDEX,5980,LEGACY,DN,0.2959,2.205,3.7889999999999997,1.694,0.4101,0.9748,0.24208972845336485,0.0,0.0,0.0,1.5,0.06866,2.5989999999999998,0.0,0.0,1.8699999999999999,0.0,0.051,0.03002713853294413,1.132,0.027570470312448605,1.849805223560967,0.32722509470341005,3.6059133470529754,0.6765642588285118,0,0,1.480575219153103,0.0,1.755398824982794,1,1.0,1.0,NB,HGELM,UNKNOWN,UNKNOWN,,UNKNOWN
6,ASDEX,5980,LEGACY,DN,0.29519999999999996,2.205,3.734,1.684,0.4113,0.9724,0.24423990498812354,0.0,0.0,0.0,1.5,0.022959999999999998,2.598,0.0,0.0,2.024,0.0,0.04902,0.027961855306061562,1.169,0.025761762964230765,1.902820085258234,0.32549854369172904,3.6482326605335014,0.6722413956398283,0,0,1.5016315125581778,0.0,1.730118193626644,1,1.0,1.0,NB,HGELM,UNKNOWN,UNKNOWN,,UNKNOWN
11,ASDEX,5982,LEGACY,DN,0.2971,2.205,3.4099999999999997,1.693,0.4043,0.9895,0.238806851742469,0.0,0.0,0.0,1.5,0.0,2.59,0.0,0.0,1.132,0.0,0.06375,0.040919030513105414,1.039,0.03801237168213095,1.6770855692218731,0.33326546877304797,3.5452124798457847,0.5893985764074395,0,0,1.6255641126793003,0.0,1.5932930481167484,1,1.0,1.0,NB,HSELM,UNKNOWN,UNKNOWN,,UNKNOWN
12,ASDEX,5982,LEGACY,DN,0.2959,2.205,3.775,1.693,0.4103,0.9744,0.2423508564678086,0.0,0.0,0.0,1.5,0.03163,2.5989999999999998,0.0,0.0,1.376,0.0,0.06991,0.037017417772483074,1.259,0.03379874782313978,2.06841982329704,0.32706558941717884,3.610081313705901,0.6747220410636152,0,0,1.4850382909027648,0.0,1.7501232230315422,1,1.0,1.0,NB,HGELM,UNKNOWN,UNKNOWN,,UNKNOWN
13,ASDEX,5982,LEGACY,DN,0.29419999999999996,2.204,3.847,1.685,0.4127,0.9691,0.24492581602373886,0.0,0.0,0.0,1.5,0.03703,2.6,0.0,0.0,2.033,0.0,0.05151,0.02813246214897745,1.221,0.02576265260556914,1.9994059147801042,0.32344214563295925,3.669243657843491,0.6996781768536421,0,0,1.4629441336590046,0.0,1.7772380641064385,1,1.0,1.0,NB,HGELM,UNKNOWN,UNKNOWN,,UNKNOWN
18,ASDEX,5996,LEGACY,DN,0.2969,2.202,3.363,1.687,0.4023,0.9942,0.23847065797273265,0.0,0.0,0.0,1.5,0.03841,2.588,0.0,0.0,1.3299999999999998,0.0,0.04856,0.03622451959622561,0.8938,0.033880811493095846,1.4332596493414995,0.33515279874599346,3.537006539160297,0.5759258972172903,0,0,1.657602274498428,0.0,1.5612912939463117,1,1.0,1.0,NB,HSELM,UNKNOWN,UNKNOWN,,UNKNOWN
19,ASDEX,5996,LEGACY,DN,0.2963,2.204,3.4179999999999997,1.685,0.4056,0.9863,0.24071216617210683,0.0,0.0,0.0,1.5,0.007051,2.59,0.0,0.0,1.6709999999999998,0.0,0.04612,0.031001045866101373,0.9918,0.028988526536754253,1.5909742753404499,0.33145312270678734,3.5814176007261866,0.5961920385648224,0,0,1.625766114515309,0.0,1.593095081067155,1,1.0,1.0,NB,HGELM,UNKNOWN,UNKNOWN,,UNKNOWN
20,ASDEX,5996,LEGACY,DN,0.2949,2.204,3.445,1.682,0.4064,0.984,0.24161712247324613,0.0,0.0,0.0,1.5,0.01702,2.5909999999999997,0.0,0.0,2.032,0.0,0.04053,0.02696997907784447,1.002,0.025266884965432924,1.60407585087945,0.3292376423682067,3.6106328365664577,0.606138297681472,0,0,1.6161923458943697,0.0,1.6031507676558079,1,1.0,1.0,NB,HGELM,UNKNOWN,UNKNOWN,,UNKNOWN
25,ASDEX,6002,LEGACY,DN,0.2969,2.205,3.378,1.689,0.4023,0.9941,0.23818827708703375,0.0,0.0,0.0,1.5,0.04001,2.589,0.0,0.0,1.5719999999999998,0.0,0.04232,0.032394428141464676,0.871,0.030378757803783143,1.3930786858812834,0.33469680854361794,3.537275531286736,0.5784947013975636,0,0,1.6487911421061803,0.0,1.5702413325030293,1,1.0,1.0,NB,HSELM,UNKNOWN,UNKNOWN,,UNKNOWN
26,ASDEX,6002,LEGACY,DN,0.2973,2.204,3.541,1.692,0.4054,0.9863,0.2395981087470449,0.0,0.0,0.0,1.5,0.0,2.593,0.0,0.0,1.349,0.0,0.05832,0.036775294538165096,1.321,0.03404120486777091,1.7132178554354123,0.332735833936951,3.55109955938784,0.6149621394347975,0,0,1.5774750117232132,0.0,1.6437661330479272,1,1.0,0.0,NB,H,UNKNOWN,UNKNOWN,,NONE
